id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
5456,"Walk to 6th, Rainey St and Convention Ctr",8028,Sylvia,,78702,30.26057,-97.73441,Entire home/apt,274,2,702,2025-02-24,3.60,1,325,32,
5769,NW Austin Room,8186,Elizabeth,,78729,30.45697,-97.78422,Private room,,1,299,2024-06-09,1.65,1,0,4,
6413,Gem of a Studio near Downtown,13879,Todd,,78704,30.24885,-97.73587,Entire home/apt,189,30,122,2024-10-01,0.66,1,0,2,
6448,"Secluded Studio @ Zilker - King Bed, Bright & Airy",14156,Amy,,78704,30.26034,-97.76487,Entire home/apt,240,3,334,2025-02-17,2.03,1,171,21,
8502,Woodland Studio Lodging,25298,Karen,,78741,30.23466,-97.73682,Entire home/apt,,4,53,2024-04-14,0.29,1,13,2,
13035,Historic house in highly walkable East Austin,50793,Margaret Ann,,78702,30.26098,-97.73072,Entire home/apt,145,30,18,2023-06-19,0.11,2,243,0,
22828,Garage Apartment central SE Austin,56488,David,,78741,30.23614,-97.73225,Entire home/apt,58,30,54,2024-11-23,0.30,1,333,3,
27632,Clarksville Condo - Weekly Rentals Only!,119441,Angele,,78703,30.276762,-97.7598146,Entire home/apt,200,3,98,2025-02-24,0.55,1,313,4,
40285,"OUTDOOR LIVING IN AUSTIN, TX",170787,Robbie,,78731,30.35123,-97.76207,Entire home/apt,450,2,41,2024-04-09,0.24,1,360,1,
57187,"An Austin ""Weird"" Home in Peaceful Zilker Park",272156,Lois,,78704,30.25756,-97.76995,Entire home/apt,165,1,1078,2025-03-12,6.24,2,361,52,
69303,Hestia - Zilker Townhome - A Barton Springs Oasis,272156,Lois,,78704,30.26146,-97.77276,Entire home/apt,185,1,253,2025-01-20,1.50,2,348,14,
70812,1 Bedroom Apt; Above the Studio,268988,Stephanie,,78704,30.24648,-97.74913,Entire home/apt,165,2,188,2024-11-11,1.10,1,19,6,
72833,"Private, Detached Cottage with Full Kitchen",378744,Ellen And Andy,,78731,30.313,-97.75066,Entire home/apt,,3,413,2023-03-26,2.42,1,0,0,
73005,3BR Convenient Gated Townhome w/ Pool Access!,128514,Vivian,,78727,30.41419,-97.73183,Entire home/apt,,4,45,2024-11-03,0.26,1,178,1,
73289,Simple 2/2 in Central Austin,382510,Christina,,78705,30.29016,-97.74478,Entire home/apt,136,30,63,2025-02-08,0.37,2,81,3,
74318,Private Guest House 78704,387918,Amy & Justin,,78704,30.24473,-97.77923,Entire home/apt,85,2,260,2025-02-28,1.53,2,294,9,
75957,Charming 1 bedroom Guesthouse Apt. in Tarrytown,404260,Kelly,,78703,30.29033,-97.76886,Entire home/apt,146,2,482,2025-02-17,2.83,2,85,31,
76501,Apartment in Historic Central Austin Home,408534,Kevin And Bob,,78722,30.29192,-97.71939,Entire home/apt,155,2,240,2025-02-16,1.40,2,44,7,
76911,EastSideLavishness- A Stay of Comfort and Joy,394012,Cole,,78702,30.26945,-97.72491,Entire home/apt,,2,206,2023-10-29,1.71,1,0,0,
76925,Comfy Digs in East Austin,411190,Lynn,,78702,30.25505,-97.72552,Entire home/apt,,2,15,2019-05-27,0.09,1,0,0,
77639,Sweet South Austin Spot,416628,Carlos,,78704,30.25023,-97.77985,Entire home/apt,141,2,57,2023-10-15,0.45,1,360,0,
78035,Modern Gem featured by Dwell. Pool + HotTub.,419192,Keith And Shannon,,78704,30.25659,-97.76772,Entire home/apt,750,30,91,2022-10-17,0.93,2,122,0,
78127,Downtown Luxury Home/ Clean/ PERFECT LOCATION,419707,Julia,,78701,30.27672,-97.74799,Entire home/apt,,1,6,2019-05-26,0.04,3,0,0,
78422,Living the Dream on Richardine (3br 1ba E. Austin),421002,E. Dixie,,78702,30.27443,-97.71135,Entire home/apt,112,4,36,2025-02-11,0.21,1,177,9,
78884,Cozy Barton Hills Studio | Walk to Zilker Park,2157243,Sean,,78704,30.26126,-97.77358,Entire home/apt,175,2,210,2025-02-23,1.23,9,199,11,
79603,Beautiful Bouldin Cottage - 78704,428883,Beau,,78704,30.24948,-97.75896,Entire home/apt,192,3,147,2024-11-17,0.86,1,42,7,
79768,East-Side Bungalow,430091,Shawn,,78702,30.26035,-97.73253,Entire home/apt,,4,34,2019-03-11,0.21,2,0,0,
82033,"Clean and quiet 3/2, in Mueller area.",445746,Kimberly,,78723,30.30393,-97.68872,Entire home/apt,225,2,4,2021-05-30,0.05,1,179,0,
