id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
29967,"Great home, 10 min walk to Beach",129123,Michael,,Pacific Beach,32.80751,-117.2576,Entire home/apt,268,4,115,2024-08-22,0.65,5,331,12,"STR-05218L, 645110"
54001,"La Jolla: 2 Bedrooms, 1 Bath, 3Blks 2 Ocean",252692,Marsha,,La Jolla,32.81301,-117.26856,Entire home/apt,159,3,346,2024-11-02,2.03,2,85,27,"STR-05706L, 523003"
62274,"charming, colorful, close to beach",302986,Isabel,,Pacific Beach,32.80583,-117.24244,Private room,91,1,933,2024-11-30,5.45,2,179,83,"STR-00821L, 520121"
62949,Pacific Beach Cozy Private Hideaway Free Bikes,21532,Lisa,,Pacific Beach,32.80655336124804,-117.23480750651349,Entire home/apt,100,1,1130,2024-12-09,7.52,4,138,102,"STR-06358L, 62086"
75668,San Diego Living by JA 2,401936,Johnathon,,North Hills,32.74699,-117.14243,Private room,45,31,196,2022-11-26,1.20,2,79,0,
77785,Old Town San Diego. Gated Community. Rent a Room.,417659,Alicia,,Old Town,32.749096,-117.191025,Private room,90,31,20,2022-09-10,0.24,1,98,0,
79300,San Diego living by JA 1,401936,Johnathon,,North Hills,32.74715,-117.1428,Private room,50,31,162,2022-12-13,0.97,2,73,0,
103417,La Jolla Retreat-ZenLife; 3 blocks to Ocean,252692,Marsha,,La Jolla,32.81321,-117.26853,Private room,67,3,261,2024-10-30,1.60,2,73,11,"STR-05706L, 523003"
103720,Gaslamp Room - Hillcrest House Bed & Breakfast,507423,Ann,,Midtown,32.74779,-117.1648,Entire home/apt,175,31,89,2023-05-06,0.54,9,53,0,Exempt
108349,Felspar Townhome- Beach Living by Boardwalk & Pier,546519,Juliana,,Pacific Beach,32.79783,-117.25416,Entire home/apt,467,6,165,2024-07-07,1.02,2,122,2,"STR-00365L, 520053"
126344,"Tourmaline House - Beach, Pet-Friendly, EV Charger",546519,Juliana,,Pacific Beach,32.80661,-117.25843,Entire home/apt,499,6,204,2024-06-29,1.27,2,305,3,"STR-00366L, 520229"
132966,Water View Studio in Pacific Beach!,555739,Rosana,,La Jolla,32.80934,-117.25913,Entire home/apt,90,31,43,2024-11-16,0.33,1,285,4,
149548,Mission Bay Getaway - Seaworld Beaches SUPER CLEAN,721326,Olivia,,Bay Park,32.79993,-117.20067,Private room,85,3,267,2024-11-15,1.64,2,160,13,"STR-07582L, 611381"
165967,MIKE'S PLACE - A PRIVATE  COTTAGE,790976,Mike,,West University Heights,32.75314,-117.15142,Entire home/apt,150,3,766,2024-12-18,4.70,2,161,50,"STR-01893L, 519224"
167804,"Mission Bay Rustic Retreat Studio, near Beaches",721326,Olivia,,Bay Park,32.80135,-117.20282,Private room,64,3,152,2024-10-05,1.01,2,179,15,"STR-07582L, 611381"
171212,Entire 3BR/2BA Condo in Beautiful Del Mar!,816767,Kayvon,,Carmel Valley,32.94568,-117.23229,Entire home/apt,110,30,78,2024-05-26,0.54,1,130,12,"STR-07941L, 648767"
176588,Mission Bay Cottage - SAN DIEGO,2139569,Doug,,Moreno Mission,32.77361,-117.2004,Entire home/apt,100,31,259,2023-02-18,1.60,2,88,0,
182428,Beachside Bliss 5: Steps to Ocean inMission Beach!,874515,Luke,,Mission Bay,32.76411,-117.25139,Entire home/apt,,31,21,2024-06-27,0.16,28,282,1,"STR-06132L, 519433"
182504,Sunny San Diego Home,874971,Stella,,Midtown,32.74316,-117.16748,Entire home/apt,,2,273,2024-10-22,1.68,1,0,22,"STR-05553L, 618861"
184238,"OB studio, ocean views, hot tub & garage parking!",883704,Scott,,Loma Portal,32.74109,-117.24503,Entire home/apt,162,2,633,2024-12-08,3.89,1,309,63,"STR-00049L, 629713"
189785,N. PB/La Jolla Ocean View a block to beach & surf!,915738,Jeff,,La Jolla,32.81041,-117.26637,Private room,110,31,43,2024-08-03,0.32,1,179,2,
190225,LJ Village Home with private pool & spa,918513,Paige,,La Jolla,32.84006,-117.26922,Entire home/apt,807,3,306,2024-12-01,1.99,1,234,36,"STR-00288L, 629298"
211583,"The Happy Little Cottage, just steps to sand...",1090651,J-Me & Clark,,Mission Bay,32.76757,-117.25103,Entire home/apt,207,3,255,2024-11-29,1.75,1,147,20,"STR-03699L, 618281"
213653,Beautiful Ocean View & Torrey PInes Serenity,660996,Kathy,,Torrey Pines,32.92565,-117.24847,Entire home/apt,711,5,53,2023-06-13,0.35,1,34,0,"STR-03611L, 604921"
246264,Central San Diego At Your Doorstep One Bedroom,1291828,Tomio,,Linda Vista,32.79579,-117.17383,Entire home/apt,79,31,63,2024-10-31,0.44,5,365,1,
252289,Private oasis w/ jacuzzi,861840,Catherine,,Old Town,32.75259,-117.17599,Entire home/apt,166,2,465,2024-04-15,3.07,1,292,7,"STR-07104L, 603701"
289088,"Quiet studio: King bed, AC, Washer",1501859,Belinda,,Midtown,32.74277,-117.17735,Entire home/apt,58,2,469,2024-12-17,2.97,2,57,63,"STR-02859L, 611101"
292285,Sleek & Modern OB/PT Loma Condo-Bch+Central Local,466847,Heather,,Loma Portal,32.75031,-117.23056,Entire home/apt,125,30,66,2024-08-19,0.52,1,139,9,"STR-09329L, 631356"
293133,San Diego Hillcrest area cozy Close to everything,797956,Michael,,North Hills,32.74925,-117.13299,Entire home/apt,97,31,0,,,1,365,0,
293609,Stunning Home -Indoor/Outdoor Style,1502676,Aaron,,West University Heights,32.75906,-117.14445,Entire home/apt,341,2,352,2024-12-01,2.52,5,75,22,"STR-02921L, 613561"
299720,Bankers Hill Studio by Balboa Park,384706,Dhiraj,,Midtown,32.73464,-117.16452,Entire home/apt,121,31,68,2024-10-31,0.43,1,144,2,
323773,Little Italy Penthouse w/Private Deck!,1657242,Kristin,,Cortez Hill,32.72237,-117.1652,Entire home/apt,225,31,3,2024-09-03,0.02,1,112,1,
343495,Private & Cozy Bohemian OB Cottage w/Hot Tub & AC,1012168,Chuck & Helen,,Ocean Beach,32.75152,-117.24682,Entire home/apt,149,3,380,2024-09-02,2.68,1,5,7,"STR-00117L, 612761"
359971,Hillcrest - (close to Zoo & Balboa Park),1821106,Marcela,,West University Heights,32.75568,-117.14679,Entire home/apt,113,3,97,2024-12-01,0.62,1,229,9,"STR-10547L, 631383"
366811,Private Floor to yourselves with game room,1852011,Brian,,Clairemont Mesa,32.81801,-117.16826,Entire home/apt,121,3,384,2024-12-19,2.50,1,79,27,"STR-02822L, 609681"
373322,Pacific Beach San Diego Bay,1402683,Sandra,,Mission Bay,32.7924,-117.23138,Entire home/apt,350,3,25,2024-07-22,0.17,2,113,2,"STR-07935L, 649053"
385760,"Super location,  beautiful neighborhood",1486293,Ann,,Loma Portal,32.75711,-117.22541,Private room,55,31,92,2024-05-20,0.60,1,352,1,
394524,Private Studio a block away from the beach,1972369,Edward,,Pacific Beach,32.802494,-117.25676,Entire home/apt,127,31,159,2023-11-25,1.05,1,365,0,"STR-06192L, 647063"
395071,Mission Beach meets Mission Bay,1974643,Debbie,,Mission Bay,32.79069,-117.25314,Entire home/apt,246,2,79,2024-08-14,0.51,1,362,1,"STR-04227L, 51864"
396390,Independent room in the back garden,1980775,Shirley,,Midtown,32.74359,-117.17584,Entire home/apt,111,3,276,2024-12-10,1.82,1,353,27,"STR-07586L, 631074"
401431,Charming Ocean Beach cottage,2003694,Edwin,,Ocean Beach,32.75103,-117.24745,Entire home/apt,126,2,99,2024-12-15,0.64,3,137,22,"STR-05916L, 617744"
438786,Craftsman home with large deck. Walk Everywhere!,2165667,Camila,,North Hills,32.74966,-117.14462,Entire home/apt,109,1,681,2024-12-16,5.35,2,323,35,"STR-07907L, 631470"
